decision_id,timestamp,bot_version,account,symbol,strategy,strategy_version,interval,action,reason,latest_close,entry_price,buying_power,in_position,position_side,position_qty,qty,market_is_open,force_test_trade,force_direction
d29c5e486fdc43fe988f0c77d2f9a451,2026-05-04T16:12:56Z,0.3.0,vwap_rsi_paper,SPY,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,716.33,,400037.12,False,flat,0,11,True,False,SELL
8518b014f09b4fda9b6682f0720e9013,2026-05-04T16:13:00Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,276.79,,392155.73,False,flat,0,28,True,False,SELL
bb3e03c3b57440c0bed41e95db3de102,2026-05-04T16:32:11Z,0.3.0,macd_pullback_paper,AAPL,macd_pullback,v2,5m,BUY,time_stop,276.26,275.527587,392970.52,True,short,29,29,True,False,SELL
5bb5d92c9c134570a8104c48c68015a7,2026-05-04T17:26:51Z,0.3.0,vwap_rsi_paper,SPY,vwap_rsi_mean_reversion,v1,5m,SELL,time_stop,718.41,716.49,384400.95,True,long,11,11,True,False,SELL
ba1964348c964890b0c6c692614d3683,2026-05-04T17:26:55Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,SELL,time_stop,277.73,276.956429,392282.34,True,long,28,28,True,False,SELL
553577f1fb9148ee8cfac7cc05dcfc6e,2026-05-05T14:24:13Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_pullback,349.91,,402558.88,False,flat,0,23,True,False,SELL
a6573534a8e64dbaae28617c834f00c1,2026-05-05T14:26:56Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,280.7,,400037.12,False,flat,0,28,True,False,SELL
697815b3bf52487f975a99c39a23cc29,2026-05-05T14:37:17Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,281.87,,400037.12,False,flat,0,28,True,False,SELL
59b31c18194f42028c3c0d191e42b13c,2026-05-05T14:41:07Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,282.69,,390569.98,False,flat,0,27,True,False,SELL
cac6948246d8437193b2f417fab1ae9c,2026-05-05T15:22:16Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,BUY,take_profit,280.08,282.636297,381412.57,True,short,27,27,True,False,SELL
d873bc9ff4834400bbe159379092520f,2026-05-05T15:51:54Z,0.3.0,vwap_rsi_paper,IWM,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,282.13,281.76,390569.98,True,short,28,28,True,False,SELL
de431152d86145d1b265b1a03765cf30,2026-05-05T16:21:32Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,76.77,,400037.12,False,flat,0,104,True,False,SELL
05f6ca3cefd447e08c57c88656019357,2026-05-05T16:30:22Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,macd_failure,352.39,350.169565,394504.98,True,long,23,23,True,False,SELL
0f18f45a862b4a74b0b5921d70201876,2026-05-05T16:43:33Z,0.3.0,vwap_rsi_paper,ARKK,vwap_rsi_mean_reversion,v1,5m,BUY,vwap_rsi_mean_reversion,76.54,,400037.12,False,flat,0,104,True,False,SELL
72ff7c48e8f64e49bf39dfa83bd72fed,2026-05-05T17:21:04Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,283.92,,392081.12,False,flat,0,27,True,False,SELL
8de2d87e504942ab9bedb9f6768991c8,2026-05-05T18:36:36Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,283.79,283.94,390837.46,True,short,27,27,True,False,SELL
cce735a7efae4e288706ceb2c271d12e,2026-05-05T19:37:03Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,BUY,macd_pullback,356.35,,402558.88,False,flat,0,22,True,False,SELL
5b382d7ae19d486abfc503d97e244dc7,2026-05-05T19:55:08Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,flatten_before_close,354.195,356.658636,394712.39,True,long,22,22,True,False,SELL
264ead71bedd46e98aea83f16a85fa6d,2026-05-05T19:56:26Z,0.3.0,macd_pullback_paper,AMD,macd_pullback,v2,5m,SELL,flatten_before_close,353.875,356.658636,394712.39,True,long,22,22,True,False,SELL
3602ea568f0f4f4498f0978f4bc57b50,2026-05-06T14:01:49Z,0.3.0,vwap_rsi_paper,NVDA,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,204.27,,400245.96,False,flat,0,39,True,False,SELL
3045488599a04a4eaa6c700c836a40b7,2026-05-06T14:07:03Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,285.82,,390684.72,False,flat,0,27,True,False,SELL
b9a1c9fca7874fc5ac5f2a5ba2d68526,2026-05-06T14:13:28Z,0.3.0,macd_pullback_paper,META,macd_pullback,v2,5m,BUY,macd_pullback,612.93,,402360.28,False,flat,0,13,True,False,SELL
1ca44a3b946b418f9110eef2ac5ab7e2,2026-05-06T14:16:18Z,0.3.0,vwap_rsi_paper,NVDA,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,204.64,,390989.04,False,flat,0,38,True,False,SELL
c55cabb54b9143479138cee9d37a6054,2026-05-06T14:22:41Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,286.19,,390894.31,False,flat,0,27,True,False,SELL
1d2a4a03ee6547de9480bc397300f66a,2026-05-06T14:29:08Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,BUY,macd_pullback,415.98,,394388.16,False,flat,0,18,True,False,SELL
61e75a2d2a5a4398bd34f52c930b9d50,2026-05-06T14:29:15Z,0.3.0,vwap_rsi_paper,META,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,615.3,,381620.74,False,flat,0,12,True,False,SELL
c7bb42672902407597d0689feec7f0b6,2026-05-06T14:37:15Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,5m,SELL,vwap_rsi_mean_reversion,416.89,,381620.74,False,flat,0,18,True,False,SELL
dde1106fdda24a39abc8bfd950694b8b,2026-05-06T15:11:02Z,0.3.0,macd_pullback_paper,META,macd_pullback,v2,5m,SELL,macd_failure,614.89,613.24,386897.23,True,long,13,13,True,False,SELL
89fec6aa86f5439cb02effcce9a98ef8,2026-05-06T15:15:02Z,0.3.0,vwap_rsi_paper,AAPL,vwap_rsi_mean_reversion,v1,5m,BUY,take_profit,284.195,286.221481,372622.2,True,short,27,27,True,False,SELL
535ba0dd66fe4cd4ac645ecb72dc6e6b,2026-05-06T15:51:27Z,0.3.0,vwap_rsi_paper,MSFT,vwap_rsi_mean_reversion,v1,5m,BUY,time_stop,415.68,416.598889,391247.42,True,short,18,18,True,False,SELL
eb23b7c0ebfe49df939f5ab70cc09d38,2026-05-06T16:37:26Z,0.3.0,macd_pullback_paper,MSFT,macd_pullback,v2,5m,SELL,macd_failure,412.63,416.162778,394869.35,True,long,18,18,True,False,SELL
