symbol,strategy,interval,side,qty,entry_signal_time,entry_time,entry_price,exit_time,exit_price,exit_reason,bars_held,pnl,return_pct,stop_price,take_profit_price
ALB,macd_pullback,5m,long,5,2025-10-01T18:15:00+00:00,2025-10-01T18:20:00+00:00,84.06,2025-10-02T13:45:00+00:00,89.1,take_profit,24,25.2,5.9957,81.54,89.1
ALB,macd_pullback,5m,long,5,2025-10-02T17:35:00+00:00,2025-10-02T17:40:00+00:00,86.88,2025-10-06T14:25:00+00:00,92.09,take_profit,103,26.05,5.9968,84.27,92.09
ALB,macd_pullback,5m,long,5,2025-10-09T16:20:00+00:00,2025-10-09T16:25:00+00:00,99.4,2025-10-09T17:25:00+00:00,96.42,stop_loss,13,-14.9,-2.998,96.42,105.36
ALB,macd_pullback,5m,long,5,2025-10-13T18:30:00+00:00,2025-10-13T18:35:00+00:00,97.0,2025-10-14T13:30:00+00:00,94.09,stop_loss,18,-14.55,-3.0,94.09,102.82
ALB,macd_pullback,5m,long,5,2025-10-15T16:00:00+00:00,2025-10-15T16:05:00+00:00,98.02,2025-10-16T16:30:00+00:00,95.08,stop_loss,76,-14.7,-2.9994,95.08,103.9
ALB,macd_pullback,5m,short,5,2025-10-16T18:10:00+00:00,2025-10-16T18:15:00+00:00,94.62,2025-10-20T15:00:00+00:00,97.46,stop_loss,115,-14.2,-3.0015,97.46,88.94
ALB,macd_pullback,5m,short,5,2025-10-21T17:15:00+00:00,2025-10-21T17:20:00+00:00,92.31,2025-10-23T13:35:00+00:00,95.08,stop_loss,105,-13.85,-3.0008,95.08,86.77
ALB,macd_pullback,5m,short,5,2025-10-28T15:40:00+00:00,2025-10-28T15:45:00+00:00,95.745,2025-10-29T13:30:00+00:00,98.62,stop_loss,47,-14.375,-3.0028,98.62,90.0
ALB,macd_pullback,5m,short,5,2025-10-30T14:20:00+00:00,2025-10-30T14:25:00+00:00,97.41,2025-10-30T16:45:00+00:00,100.33,stop_loss,29,-14.6,-2.9976,100.33,91.57
ALB,macd_pullback,5m,short,5,2025-10-31T19:50:00+00:00,2025-10-31T19:55:00+00:00,98.3,2025-11-04T14:30:00+00:00,92.4,take_profit,79,29.5,6.002,101.25,92.4
ALB,macd_pullback,5m,short,5,2025-11-04T18:20:00+00:00,2025-11-04T18:25:00+00:00,88.885,2025-11-05T16:00:00+00:00,91.55,stop_loss,49,-13.325,-2.9983,91.55,83.55
ALB,macd_pullback,5m,long,5,2025-11-05T19:55:00+00:00,2025-11-05T20:00:00+00:00,92.78,2025-11-10T14:30:00+00:00,98.35,take_profit,165,27.85,6.0034,90.0,98.35
ALB,macd_pullback,5m,long,5,2025-11-11T20:15:00+00:00,2025-11-11T20:20:00+00:00,103.07,2025-11-12T15:00:00+00:00,109.25,take_profit,15,30.9,5.9959,99.98,109.25
ALB,macd_pullback,5m,long,5,2025-11-12T18:35:00+00:00,2025-11-12T18:40:00+00:00,109.45,2025-11-13T14:45:00+00:00,116.02,take_profit,32,32.85,6.0027,106.17,116.02
ALB,macd_pullback,5m,long,5,2025-11-14T19:15:00+00:00,2025-11-14T19:20:00+00:00,115.63,2025-11-17T14:35:00+00:00,122.57,take_profit,22,34.7,6.0019,112.16,122.57
ALB,macd_pullback,5m,long,5,2025-11-18T18:00:00+00:00,2025-11-18T18:05:00+00:00,120.915,2025-11-20T16:55:00+00:00,117.29,stop_loss,141,-18.125,-2.998,117.29,128.17
ALB,macd_pullback,5m,short,5,2025-11-21T20:00:00+00:00,2025-11-21T20:05:00+00:00,117.36,2025-11-25T15:00:00+00:00,120.88,stop_loss,91,-17.6,-2.9993,120.88,110.32
ALB,macd_pullback,5m,long,5,2025-11-26T15:20:00+00:00,2025-11-26T15:25:00+00:00,125.28,2025-12-04T14:35:00+00:00,121.52,stop_loss,324,-18.8,-3.0013,121.52,132.8
ALB,macd_pullback,5m,short,5,2025-12-04T17:05:00+00:00,2025-12-04T17:10:00+00:00,122.24,2025-12-05T14:30:00+00:00,125.91,stop_loss,47,-18.35,-3.0023,125.91,114.91
ALB,macd_pullback,5m,long,5,2025-12-05T19:15:00+00:00,2025-12-05T19:20:00+00:00,126.98,2025-12-11T15:15:00+00:00,134.6,take_profit,243,38.1,6.0009,123.17,134.6
ALB,macd_pullback,5m,long,5,2025-12-11T18:40:00+00:00,2025-12-11T18:50:00+00:00,134.27,2025-12-12T16:20:00+00:00,130.24,stop_loss,42,-20.15,-3.0014,130.24,142.33
ALB,macd_pullback,5m,long,5,2025-12-15T15:05:00+00:00,2025-12-15T15:10:00+00:00,133.11,2025-12-19T14:30:00+00:00,141.1,take_profit,276,39.95,6.0026,129.12,141.1
ALB,macd_pullback,5m,long,5,2025-12-23T18:20:00+00:00,2025-12-23T18:25:00+00:00,147.2,2025-12-29T14:30:00+00:00,142.78,stop_loss,123,-22.1,-3.0027,142.78,156.03
ALB,macd_pullback,5m,short,5,2025-12-29T17:40:00+00:00,2025-12-29T17:45:00+00:00,144.505,2026-01-06T14:30:00+00:00,148.84,stop_loss,320,-21.675,-2.9999,148.84,135.83
ALB,macd_pullback,5m,long,5,2026-01-09T16:35:00+00:00,2026-01-09T16:40:00+00:00,161.48,2026-01-13T14:30:00+00:00,171.17,take_profit,118,48.45,6.0007,156.64,171.17
ALB,macd_pullback,5m,long,5,2026-01-13T18:55:00+00:00,2026-01-13T19:00:00+00:00,177.405,2026-01-14T14:35:00+00:00,172.08,stop_loss,26,-26.625,-3.0016,172.08,188.05
ALB,macd_pullback,5m,long,5,2026-01-14T15:40:00+00:00,2026-01-14T15:45:00+00:00,176.265,2026-01-16T14:30:00+00:00,170.98,stop_loss,134,-26.425,-2.9983,170.98,186.84
ALB,macd_pullback,5m,short,5,2026-01-16T19:25:00+00:00,2026-01-16T19:30:00+00:00,164.47,2026-01-20T15:30:00+00:00,169.4,stop_loss,31,-24.65,-2.9975,169.4,154.6
ALB,macd_pullback,5m,long,5,2026-01-20T19:25:00+00:00,2026-01-20T19:30:00+00:00,169.9,2026-01-21T16:10:00+00:00,180.09,take_profit,39,50.95,5.9976,164.8,180.09
ALB,macd_pullback,5m,long,5,2026-01-23T18:05:00+00:00,2026-01-23T18:10:00+00:00,189.08,2026-01-28T14:45:00+00:00,183.41,stop_loss,183,-28.35,-2.9987,183.41,200.42
ALB,macd_pullback,5m,short,5,2026-01-28T19:05:00+00:00,2026-01-28T19:10:00+00:00,184.36,2026-01-30T14:30:00+00:00,173.3,take_profit,90,55.3,5.9991,189.89,173.3
ALB,macd_pullback,5m,short,5,2026-01-30T20:05:00+00:00,2026-01-30T20:10:00+00:00,168.76,2026-02-03T14:30:00+00:00,173.82,stop_loss,86,-25.3,-2.9983,173.82,158.63
ALB,macd_pullback,5m,short,5,2026-02-05T18:20:00+00:00,2026-02-05T18:25:00+00:00,157.65,2026-02-06T14:50:00+00:00,162.38,stop_loss,36,-23.65,-3.0003,162.38,148.19
ALB,macd_pullback,5m,long,5,2026-02-09T18:50:00+00:00,2026-02-09T18:55:00+00:00,164.85,2026-02-11T14:30:00+00:00,174.74,take_profit,101,49.45,5.9994,159.9,174.74
ALB,macd_pullback,5m,long,5,2026-02-11T16:40:00+00:00,2026-02-11T16:45:00+00:00,172.97,2026-02-12T15:05:00+00:00,167.78,stop_loss,59,-25.95,-3.0005,167.78,183.35
ALB,macd_pullback,5m,short,5,2026-02-12T20:10:00+00:00,2026-02-12T20:15:00+00:00,161.08,2026-02-13T14:55:00+00:00,165.91,stop_loss,15,-24.15,-2.9985,165.91,151.42
ALB,macd_pullback,5m,long,5,2026-02-13T18:40:00+00:00,2026-02-13T18:45:00+00:00,166.74,2026-02-23T20:25:00+00:00,176.74,take_profit,361,50.0,5.9974,161.74,176.74
ALB,macd_pullback,5m,long,5,2026-02-23T20:25:00+00:00,2026-02-23T20:30:00+00:00,176.885,2026-02-24T14:50:00+00:00,187.5,take_profit,11,53.075,6.0011,171.58,187.5
ALB,macd_pullback,5m,long,5,2026-02-25T18:35:00+00:00,2026-02-25T18:40:00+00:00,197.57,2026-02-26T14:30:00+00:00,191.64,stop_loss,29,-29.65,-3.0015,191.64,209.42
ALB,macd_pullback,5m,short,5,2026-03-02T20:00:00+00:00,2026-03-02T20:05:00+00:00,178.34,2026-03-03T14:30:00+00:00,167.64,take_profit,12,53.5,5.9998,183.69,167.64
ALB,macd_pullback,5m,short,5,2026-03-03T20:50:00+00:00,2026-03-03T20:55:00+00:00,164.415,2026-03-04T14:30:00+00:00,169.35,stop_loss,2,-24.675,-3.0016,169.35,154.55
ALB,macd_pullback,5m,short,5,2026-03-04T18:05:00+00:00,2026-03-04T18:10:00+00:00,169.97,2026-03-06T14:30:00+00:00,159.77,take_profit,109,51.0,6.0011,175.07,159.77
ALB,macd_pullback,5m,short,5,2026-03-06T18:35:00+00:00,2026-03-06T18:45:00+00:00,163.19,2026-03-09T19:25:00+00:00,168.09,stop_loss,94,-24.5,-3.0026,168.09,153.4
ALB,macd_pullback,5m,long,5,2026-03-10T16:55:00+00:00,2026-03-10T17:00:00+00:00,170.9,2026-03-11T13:30:00+00:00,165.77,stop_loss,37,-25.65,-3.0018,165.77,181.15
ALB,macd_pullback,5m,short,5,2026-03-11T17:50:00+00:00,2026-03-11T17:55:00+00:00,165.71,2026-03-19T13:35:00+00:00,155.77,take_profit,345,49.7,5.9984,170.68,155.77
ALB,macd_pullback,5m,short,5,2026-03-19T17:10:00+00:00,2026-03-19T17:15:00+00:00,159.835,2026-03-23T13:40:00+00:00,164.63,stop_loss,102,-23.975,-3.0,164.63,150.24
ALB,macd_pullback,5m,long,5,2026-03-23T17:30:00+00:00,2026-03-23T17:40:00+00:00,168.92,2026-03-25T13:30:00+00:00,179.06,take_profit,96,50.7,6.0028,163.85,179.06
ALB,macd_pullback,5m,long,5,2026-03-31T19:00:00+00:00,2026-03-31T19:05:00+00:00,181.29,2026-03-31T19:55:00+00:00,179.51,end_of_backtest,11,-8.9,-0.9819,175.85,192.17
